case_id,event_label,resource
35,i,INTAKE2
35,b,None
35,b,None
35,a,None
35,b,None
36,i,INTAKE3
36,b,None
36,a,None
36,d,OR1
37,i,INTAKE2
37,a,None
37,g,None
37,d,OR4
38,c,A_BED4
38,g,None
38,b,None
38,a,None
39,h,ER_PRACTITIONER4
39,e,None
40,c,A_BED9
40,i,INTAKE3
40,b,None
40,a,None
41,i,INTAKE4
41,a,None
41,b,None
41,g,None
42,c,B_BED4
42,h,ER_PRACTITIONER5
42,e,None
43,c,B_BED6
43,h,ER_PRACTITIONER6
43,g,None
43,e,None
44,h,ER_PRACTITIONER3
44,e,None
44,g,None
45,h,ER_PRACTITIONER3
45,g,None
45,e,None
46,h,ER_PRACTITIONER4
46,e,None
46,g,None
46,d,OR3
47,c,B_BED28
47,h,ER_PRACTITIONER3
47,e,None
48,h,ER_PRACTITIONER4
48,g,None
48,e,None
49,c,B_BED9
49,h,ER_PRACTITIONER5
49,d,OR5
50,h,ER_PRACTITIONER6
50,g,None
50,e,None
51,c,B_BED7
51,h,ER_PRACTITIONER3
51,e,None
52,c,B_BED29
52,e,None
53,h,ER_PRACTITIONER3
53,e,None
53,g,None
54,h,ER_PRACTITIONER5
54,g,None
55,c,B_BED30
55,g,None
55,a,None
55,b,None
56,c,B_BED21
56,i,INTAKE2
56,a,None
57,c,B_BED38
57,i,INTAKE1
57,g,None
58,i,INTAKE4
58,a,None
59,c,A_BED21
59,i,INTAKE3
59,b,None
59,d,OR5
60,c,B_BED12
60,i,INTAKE2
60,b,None
60,g,None
61,h,ER_PRACTITIONER3
61,e,None
61,g,None
62,c,A_BED24
62,i,INTAKE2
62,a,None
62,b,None
63,i,INTAKE1
63,g,None
63,b,None
63,d,OR5
64,i,INTAKE3
64,a,None
64,b,None
64,b,None
64,g,None
65,c,B_BED19
65,i,INTAKE1
65,a,None
65,b,None
65,g,None
66,c,B_BED34
66,i,INTAKE3
66,b,None
66,b,None
66,b,None
66,g,None
66,a,None
66,d,OR1
67,h,ER_PRACTITIONER4
67,e,None
68,c,B_BED40
68,i,INTAKE2
68,g,None
69,c,B_BED24
69,i,INTAKE1
69,a,None
69,g,None
69,b,None
70,i,INTAKE3
70,b,None
70,a,None
70,d,OR3
71,c,A_BED1
71,i,INTAKE3
71,g,None
71,b,None
72,c,B_BED14
72,i,INTAKE2
72,b,None
72,b,None
72,a,None
73,c,B_BED10
73,e,None
74,c,A_BED10
74,i,INTAKE4
74,b,None
74,g,None
74,a,None
75,h,ER_PRACTITIONER3
75,e,None
75,g,None
76,c,B_BED28
76,i,INTAKE2
76,g,None
77,c,B_BED7
77,g,None
77,b,None
78,c,A_BED25
78,i,INTAKE1
78,g,None
78,d,OR2
79,i,INTAKE4
79,b,None
79,g,None
80,g,None
80,b,None
81,c,B_BED34
81,h,ER_PRACTITIONER3
81,e,None
82,b,None
82,a,None
82,b,None
82,b,None
82,f,None
83,c,A_BED22
83,b,None
83,a,None
83,g,None
83,b,None
83,d,OR4
84,i,INTAKE4
84,g,None
84,a,None
84,b,None
84,d,OR2
85,a,None
85,b,None
85,b,None
85,f,None
85,b,None
85,b,None
86,f,None
86,b,None
87,c,A_BED14
87,i,INTAKE3
87,a,None
87,g,None
87,b,None
88,c,B_BED24
88,i,INTAKE1
88,a,None
88,d,OR1
89,c,A_BED28
89,i,INTAKE4
89,b,None
89,g,None
89,b,None
89,a,None
89,d,OR5
90,b,None
90,b,None
90,b,None
90,b,None
90,b,None
91,h,ER_PRACTITIONER4
92,c,B_BED39
92,h,ER_PRACTITIONER3
92,e,None
93,h,ER_PRACTITIONER5
93,e,None
93,g,None
94,c,B_BED23
94,h,ER_PRACTITIONER6
94,e,None
95,h,ER_PRACTITIONER7
95,e,None
96,g,None
96,d,OR5
97,e,None
97,g,None
98,h,ER_PRACTITIONER4
98,e,None
99,h,ER_PRACTITIONER3
99,g,None
100,c,B_BED20
100,h,ER_PRACTITIONER4
100,g,None
101,h,ER_PRACTITIONER5
101,g,None
102,h,ER_PRACTITIONER5
102,e,None
102,g,None
103,h,ER_PRACTITIONER3
103,e,None
103,g,None
104,e,None
104,g,None
104,d,OR1
105,g,None
106,h,ER_PRACTITIONER6
106,g,None
106,e,None
107,c,B_BED2
107,h,ER_PRACTITIONER3
107,e,None
108,e,None
108,g,None
109,g,None
110,c,B_BED3
110,g,None
110,d,OR2
111,h,ER_PRACTITIONER3
111,g,None
111,e,None
112,h,ER_PRACTITIONER4
112,e,None
113,c,A_BED20
113,i,INTAKE3
113,b,None
113,a,None
113,d,OR4
114,i,INTAKE2
114,b,None
114,a,None
115,c,A_BED15
115,i,INTAKE1
115,a,None
115,g,None
116,c,B_BED33
116,i,INTAKE4
116,a,None
116,b,None
116,g,None
117,c,B_BED25
117,e,None
117,g,None
118,i,INTAKE3
118,b,None
118,a,None
118,b,None
118,g,None
118,d,OR3
119,c,A_BED8
119,a,None
119,b,None
119,b,None
120,h,ER_PRACTITIONER6
120,e,None
121,h,ER_PRACTITIONER7
122,c,A_BED16
122,g,None
122,d,OR1
123,c,B_BED22
123,b,None
123,b,None
123,g,None
124,c,A_BED17
124,i,INTAKE2
124,b,None
124,g,None
124,a,None
124,d,OR3
125,i,INTAKE4
126,c,A_BED24
126,i,INTAKE3
126,b,None
126,a,None
126,g,None
127,i,INTAKE2
127,b,None
127,g,None
127,a,None
127,d,OR1
128,c,B_BED33
128,g,None
128,b,None
129,c,A_BED16
129,i,INTAKE2
129,b,None
129,b,None
129,g,None
130,i,INTAKE1
130,a,None
130,b,None
130,b,None
131,i,INTAKE2
131,g,None
131,b,None
131,a,None
131,b,None
131,d,OR5
132,c,B_BED13
132,i,INTAKE1
132,g,None
132,d,OR5
133,c,B_BED38
133,a,None
133,g,None
133,b,None
133,d,OR3
134,i,INTAKE4
134,b,None
134,a,None
134,g,None
135,c,A_BED18
135,i,INTAKE4
135,b,None
135,b,None
135,b,None
135,b,None
135,a,None
135,d,OR4
136,b,None
136,a,None
136,b,None
136,b,None
136,b,None
136,b,None
137,b,None
138,c,A_BED2
138,i,INTAKE1
138,b,None
138,a,None
138,g,None
138,d,OR5
139,c,B_BED20
139,a,None
139,g,None
140,b,None
140,b,None
140,f,None
140,b,None
141,c,B_BED2
141,i,INTAKE4
141,b,None
141,a,None
142,b,None
142,a,None
142,b,None
142,b,None
142,b,None
142,b,None
142,f,None
143,b,None
143,b,None
143,b,None
143,b,None
143,f,None
143,b,None
144,b,None
144,b,None
144,b,None
144,b,None
145,b,None
145,f,None
145,b,None
145,b,None
145,b,None
145,b,None
145,a,None
145,b,None
146,b,None
146,b,None
146,b,None
147,b,None
147,b,None
147,b,None
147,b,None
147,f,None
148,c,B_BED4
148,g,None
148,e,None
149,c,B_BED35
149,h,ER_PRACTITIONER4
149,g,None
149,e,None
149,d,OR3
150,h,ER_PRACTITIONER5
150,e,None
150,g,None
151,h,ER_PRACTITIONER3
151,g,None
151,e,None
153,e,None
153,g,None
154,h,ER_PRACTITIONER3
154,e,None
154,g,None
155,h,ER_PRACTITIONER4
155,e,None
155,g,None
156,h,ER_PRACTITIONER5
156,g,None
156,e,None
157,c,B_BED27
157,h,ER_PRACTITIONER6
158,c,B_BED6
158,h,ER_PRACTITIONER3
158,e,None
159,h,ER_PRACTITIONER4
159,e,None
159,g,None
160,h,ER_PRACTITIONER3
160,e,None
161,h,ER_PRACTITIONER4
161,e,None
161,g,None
162,c,B_BED11
162,h,ER_PRACTITIONER5
162,e,None
162,g,None
162,d,OR5
163,g,None
164,c,B_BED13
164,h,ER_PRACTITIONER7
164,g,None
164,d,OR1
165,h,ER_PRACTITIONER3
165,e,None
166,c,B_BED32
166,h,ER_PRACTITIONER5
166,g,None
166,e,None
167,g,None
167,e,None
168,g,None
169,i,INTAKE3
169,b,None
169,g,None
169,a,None
170,c,B_BED7
170,i,INTAKE2
170,a,None
170,g,None
170,b,None
171,b,None
171,g,None
172,c,A_BED23
172,i,INTAKE4
172,b,None
172,a,None
172,d,OR2
173,i,INTAKE3
173,b,None
173,b,None
173,a,None
173,b,None
173,b,None
174,i,INTAKE2
174,b,None
174,b,None
175,i,INTAKE1
175,b,None
175,g,None
175,b,None
175,a,None
175,b,None
175,b,None
176,c,A_BED16
176,a,None
176,b,None
176,g,None
177,g,None
177,b,None
177,a,None
178,c,B_BED40
178,i,INTAKE4
178,b,None
178,b,None
178,b,None
179,c,B_BED30
179,i,INTAKE3
179,b,None
179,b,None
179,a,None
179,b,None
179,b,None
179,b,None
179,g,None
179,d,OR2
180,b,None
180,a,None
180,f,None
180,b,None
180,b,None
180,b,None
181,b,None
181,b,None
181,b,None
181,a,None
182,c,B_BED12
182,i,INTAKE4
182,b,None
182,g,None
182,a,None
183,b,None
183,f,None
183,a,None
183,b,None
183,b,None
183,b,None
183,b,None
184,b,None
184,b,None
184,b,None
184,b,None
184,b,None
185,c,B_BED40
185,i,INTAKE2
185,b,None
185,a,None
185,b,None
185,b,None
185,b,None
185,b,None
186,g,None
187,b,None
187,b,None
187,f,None
187,b,None
187,a,None
188,f,None
188,b,None
188,b,None
188,a,None
188,b,None
188,b,None
189,a,None
189,b,None
189,b,None
189,b,None
189,b,None
190,b,None
190,a,None
190,b,None
190,b,None
190,b,None
190,f,None
190,b,None
191,b,None
191,b,None
191,b,None
191,f,None
191,b,None
192,h,ER_PRACTITIONER4
192,g,None
193,b,None
193,b,None
193,b,None
193,b,None
193,b,None
194,b,None
194,b,None
194,b,None
194,a,None
194,b,None
194,f,None
195,g,None
195,e,None
196,c,B_BED15
196,h,ER_PRACTITIONER5
196,g,None
196,e,None
197,c,B_BED37
197,h,ER_PRACTITIONER6
197,g,None
198,c,B_BED39
198,b,None
198,a,None
198,b,None
198,g,None
199,f,None
199,b,None
199,b,None
199,b,None
199,b,None
199,b,None
199,b,None
200,b,None
200,b,None
200,f,None
200,b,None
200,b,None
200,b,None
200,b,None
201,b,None
201,b,None
201,b,None
201,b,None
202,b,None
202,b,None
202,b,None
202,a,None
203,c,B_BED16
203,e,None
203,g,None
204,f,None
204,b,None
204,a,None
204,b,None
204,b,None
204,b,None
205,h,ER_PRACTITIONER1
205,e,None
206,b,None
206,a,None
206,b,None
206,f,None
206,b,None
206,b,None
207,f,None
207,a,None
207,b,None
207,b,None
207,b,None
207,b,None
207,b,None
208,b,None
208,a,None
208,b,None
208,b,None
208,f,None
208,b,None
208,b,None
209,c,B_BED22
209,g,None
210,b,None
210,b,None
210,b,None
210,b,None
210,b,None
211,a,None
211,b,None
211,b,None
211,f,None
211,b,None
211,b,None
211,b,None
212,h,ER_PRACTITIONER3
212,g,None
212,e,None
213,b,None
213,b,None
214,b,None
214,b,None
214,b,None
214,f,None
214,b,None
214,b,None
215,h,ER_PRACTITIONER4
215,e,None
215,g,None
216,c,B_BED39
216,e,None
217,h,ER_PRACTITIONER3
217,g,None
217,e,None
218,c,B_BED40
218,h,ER_PRACTITIONER4
218,g,None
218,d,OR3
219,c,B_BED10
219,e,None
219,g,None
220,h,ER_PRACTITIONER5
220,e,None
220,g,None
221,h,ER_PRACTITIONER4
221,g,None
221,e,None
222,h,ER_PRACTITIONER6
222,g,None
222,e,None
223,h,ER_PRACTITIONER7
223,e,None
223,g,None
224,h,ER_PRACTITIONER3
224,e,None
224,g,None
225,c,B_BED5
225,h,ER_PRACTITIONER4
225,g,None
225,e,None
226,h,ER_PRACTITIONER5
226,g,None
226,e,None
227,h,ER_PRACTITIONER6
227,e,None
228,c,B_BED6
228,h,ER_PRACTITIONER3
228,e,None
228,g,None
229,h,ER_PRACTITIONER7
229,e,None
230,h,ER_PRACTITIONER4
230,e,None
230,g,None
231,c,B_BED17
231,g,None
232,c,B_BED3
232,h,ER_PRACTITIONER5
232,e,None
233,h,ER_PRACTITIONER6
234,h,ER_PRACTITIONER3
234,g,None
235,c,A_BED15
235,i,INTAKE3
235,a,None
235,b,None
235,b,None
235,g,None
236,c,B_BED16
236,i,INTAKE2
236,b,None
236,a,None
236,b,None
236,g,None
236,b,None
237,h,ER_PRACTITIONER4
237,g,None
237,e,None
238,h,ER_PRACTITIONER7
238,g,None
238,e,None
239,i,INTAKE1
239,b,None
239,a,None
239,g,None
239,b,None
240,c,B_BED32
240,i,INTAKE4
240,b,None
240,b,None
240,g,None
241,c,B_BED15
241,i,INTAKE2
241,b,None
241,a,None
241,b,None
241,b,None
242,b,None
242,b,None
242,b,None
242,b,None
242,f,None
242,b,None
243,b,None
243,f,None
243,b,None
243,b,None
243,a,None
243,b,None
244,b,None
244,f,None
244,b,None
244,b,None
244,b,None
245,b,None
245,b,None
245,a,None
245,b,None
246,b,None
246,b,None
246,b,None
246,b,None
246,a,None
246,b,None
247,b,None
247,b,None
247,b,None
247,a,None
248,h,ER_PRACTITIONER3
248,g,None
249,b,None
249,b,None
249,a,None
249,b,None
250,b,None
250,b,None
250,b,None
250,b,None
250,b,None
250,a,None
251,b,None
251,b,None
251,a,None
251,f,None
251,b,None
251,b,None
251,b,None
252,b,None
252,b,None
252,b,None
252,b,None
252,a,None
252,b,None
253,a,None
253,b,None
253,f,None
253,b,None
253,b,None
253,b,None
253,b,None
254,b,None
254,b,None
254,b,None
254,b,None
254,b,None
255,b,None
255,b,None
255,f,None
255,b,None
255,b,None
256,h,ER_PRACTITIONER3
256,g,None
256,e,None
257,b,None
257,b,None
257,f,None
257,b,None
257,b,None
258,i,INTAKE2
258,g,None
258,b,None
258,b,None
258,b,None
258,a,None
259,b,None
259,f,None
259,a,None
259,b,None
259,b,None
260,b,None
260,b,None
260,b,None
261,e,None
262,b,None
262,b,None
262,b,None
262,b,None
262,b,None
262,f,None
262,a,None
263,b,None
263,b,None
263,b,None
263,f,None
263,b,None
263,a,None
264,h,ER_PRACTITIONER3
264,g,None
265,b,None
265,b,None
265,b,None
265,f,None
265,b,None
265,b,None
265,b,None
266,b,None
266,a,None
266,b,None
266,b,None
266,f,None
266,b,None
266,b,None
267,h,ER_PRACTITIONER5
267,g,None
268,b,None
268,f,None
268,b,None
268,b,None
268,b,None
268,a,None
268,b,None
268,b,None
269,b,None
269,b,None
269,b,None
269,b,None
269,b,None
270,c,B_BED26
270,g,None
271,b,None
271,b,None
271,b,None
271,b,None
271,f,None
271,a,None
271,b,None
272,b,None
272,f,None
272,b,None
272,b,None
272,a,None
272,b,None
273,e,None
274,h,ER_PRACTITIONER3
274,g,None
274,e,None
275,h,ER_PRACTITIONER4
275,g,None
275,e,None
276,c,B_BED5
276,e,None
276,g,None
277,h,ER_PRACTITIONER3
277,e,None
278,c,B_BED27
278,e,None
279,c,B_BED15
279,h,ER_PRACTITIONER5
279,g,None
279,e,None
279,d,OR3
280,h,ER_PRACTITIONER6
280,e,None
280,g,None
281,g,None
282,e,None
283,h,ER_PRACTITIONER5
283,e,None
284,h,ER_PRACTITIONER3
285,c,B_BED28
285,h,ER_PRACTITIONER4
285,e,None
286,e,None
287,h,ER_PRACTITIONER4
287,g,None
288,c,B_BED9
288,e,None
288,g,None
289,c,B_BED8
289,h,ER_PRACTITIONER4
289,g,None
290,h,ER_PRACTITIONER5
290,g,None
290,e,None
291,c,B_BED30
291,h,ER_PRACTITIONER6
291,e,None
291,g,None
292,c,B_BED31
292,h,ER_PRACTITIONER3
292,e,None
292,g,None
293,c,B_BED10
293,g,None
294,c,B_BED32
294,g,None
295,g,None
296,h,ER_PRACTITIONER6
296,g,None
297,c,B_BED35
297,h,ER_PRACTITIONER3
298,c,B_BED19
298,g,None
299,g,None
300,g,None
300,e,None
301,c,B_BED23
301,h,ER_PRACTITIONER5
301,e,None
301,g,None
302,h,ER_PRACTITIONER4
302,e,None
302,g,None
303,e,None
303,g,None
304,h,ER_PRACTITIONER5
304,g,None
304,e,None
305,e,None
306,e,None
306,g,None
307,h,ER_PRACTITIONER5
307,g,None
307,e,None
308,c,B_BED25
308,g,None
308,e,None
309,c,B_BED4
309,h,ER_PRACTITIONER4
309,e,None
310,c,B_BED26
311,g,None
311,e,None
312,c,B_BED27
312,h,ER_PRACTITIONER4
312,g,None
312,e,None
313,h,ER_PRACTITIONER5
313,e,None
313,g,None
313,d,OR5
314,c,B_BED6
314,h,ER_PRACTITIONER3
314,g,None
314,e,None
315,e,None
315,g,None
316,h,ER_PRACTITIONER3
316,e,None
316,g,None
317,c,B_BED31
317,e,None
317,g,None
318,c,B_BED10
318,h,ER_PRACTITIONER4
318,e,None
318,g,None
319,c,B_BED29
319,h,ER_PRACTITIONER5
319,e,None
320,c,B_BED35
320,e,None
320,g,None
321,h,ER_PRACTITIONER7
321,g,None
321,e,None
322,h,ER_PRACTITIONER1
322,g,None
322,e,None
323,c,B_BED13
323,i,INTAKE3
323,g,None
324,c,B_BED37
324,h,ER_PRACTITIONER3
324,e,None
324,g,None
325,h,ER_PRACTITIONER4
325,g,None
325,e,None
326,h,ER_PRACTITIONER5
326,e,None
327,h,ER_PRACTITIONER8
327,e,None
327,g,None
328,g,None
329,c,B_BED35
329,i,INTAKE1
329,b,None
329,g,None
330,c,B_BED21
330,h,ER_PRACTITIONER6
330,g,None
331,e,None
332,c,B_BED19
332,i,INTAKE4
332,b,None
332,a,None
332,g,None
333,h,ER_PRACTITIONER9
333,g,None
334,c,A_BED19
334,i,INTAKE3
334,a,None
334,b,None
334,b,None
334,g,None
335,i,INTAKE1
335,a,None
335,b,None
336,c,B_BED2
336,i,INTAKE4
336,b,None
336,b,None
337,b,None
337,a,None
337,b,None
337,b,None
337,f,None
337,b,None
338,b,None
338,a,None
338,f,None
338,b,None
338,b,None
338,b,None
339,b,None
339,f,None
339,b,None
339,b,None
339,a,None
339,b,None
340,g,None
340,e,None
341,c,B_BED16
341,b,None
341,g,None
341,b,None
342,c,B_BED21
342,c,B_BED21
342,i,INTAKE4
342,b,None
342,b,None
342,g,None
343,c,A_BED18
343,a,None
343,b,None
344,c,B_BED35
344,i,INTAKE2
344,g,None
344,a,None
345,b,None
345,b,None
345,b,None
345,b,None
346,b,None
346,a,None
347,c,B_BED33
347,h,ER_PRACTITIONER3
348,c,A_BED14
348,i,INTAKE4
348,a,None
348,g,None
348,b,None
348,d,OR3
349,b,None
349,b,None
349,b,None
349,f,None
349,b,None
350,b,None
350,a,None
350,b,None
350,b,None
350,b,None
350,f,None
350,b,None
351,g,None
351,e,None
352,h,ER_PRACTITIONER5
352,g,None
353,h,ER_PRACTITIONER6
353,e,None
354,c,B_BED22
354,i,INTAKE2
354,g,None
355,c,B_BED17
355,i,INTAKE4
355,a,None
355,g,None
355,b,None
355,b,None
356,b,None
356,b,None
356,a,None
356,b,None
356,f,None
356,b,None
357,b,None
357,b,None
357,b,None
358,c,B_BED39
358,g,None
358,b,None
358,b,None
358,a,None
359,c,A_BED20
359,b,None
359,g,None
359,b,None
360,b,None
360,b,None
360,b,None
360,b,None
361,b,None
361,f,None
361,b,None
361,a,None
361,b,None
362,b,None
362,b,None
362,b,None
362,b,None
362,b,None
363,b,None
363,b,None
363,a,None
363,b,None
363,b,None
363,b,None
364,h,ER_PRACTITIONER3
365,h,ER_PRACTITIONER4
366,b,None
366,b,None
366,b,None
366,b,None
366,b,None
366,f,None
367,b,None
367,b,None
367,b,None
367,f,None
367,b,None
368,b,None
368,f,None
368,b,None
368,b,None
368,b,None
369,h,ER_PRACTITIONER5
369,g,None
370,h,ER_PRACTITIONER6
370,e,None
371,c,B_BED27
371,h,ER_PRACTITIONER3
371,d,OR3
372,c,B_BED28
372,h,ER_PRACTITIONER4
372,e,None
372,g,None
372,d,OR5
373,e,None
373,g,None
373,d,OR1
374,c,B_BED3
374,h,ER_PRACTITIONER4
374,g,None
374,e,None
375,h,ER_PRACTITIONER3
375,e,None
375,g,None
376,c,B_BED25
376,h,ER_PRACTITIONER4
376,g,None
376,e,None
377,e,None
377,g,None
378,e,None
379,h,ER_PRACTITIONER6
379,e,None
379,g,None
380,c,B_BED26
380,h,ER_PRACTITIONER3
380,e,None
380,g,None
381,c,B_BED5
381,h,ER_PRACTITIONER4
381,g,None
381,e,None
382,g,None
382,a,None
383,g,None
383,b,None
384,c,A_BED14
384,i,INTAKE1
384,b,None
385,h,ER_PRACTITIONER3
385,e,None
385,g,None
386,c,A_BED16
386,i,INTAKE4
386,a,None
386,d,OR3
387,i,INTAKE3
387,g,None
387,a,None
388,c,B_BED29
388,h,ER_PRACTITIONER5
388,e,None
389,c,A_BED2
389,i,INTAKE2
389,a,None
389,b,None
390,b,None
390,a,None
390,b,None
390,b,None
390,b,None
390,b,None
391,b,None
391,b,None
391,b,None
391,b,None
391,f,None
392,b,None
392,f,None
392,b,None
392,b,None
392,a,None
392,b,None
392,b,None
392,b,None
393,c,B_BED36
393,i,INTAKE2
393,g,None
394,c,B_BED37
394,i,INTAKE3
394,g,None
394,a,None
394,b,None
394,d,OR3
395,i,INTAKE2
395,b,None
395,a,None
395,g,None
396,i,INTAKE1
396,b,None
396,a,None
396,g,None
397,c,A_BED22
397,i,INTAKE4
397,g,None
397,b,None
397,b,None
397,a,None
398,f,None
398,b,None
398,b,None
398,b,None
398,b,None
398,b,None
399,c,B_BED6
399,h,ER_PRACTITIONER4
399,g,None
399,e,None
400,a,None
400,b,None
400,f,None
400,b,None
400,b,None
401,b,None
401,a,None
401,f,None
401,b,None
401,b,None
401,b,None
402,a,None
402,b,None
402,b,None
402,b,None
402,f,None
403,b,None
403,a,None
403,f,None
403,b,None
403,b,None
403,b,None
403,b,None
404,h,ER_PRACTITIONER3
404,e,None
404,g,None
405,h,ER_PRACTITIONER4
405,g,None
406,b,None
406,a,None
406,f,None
406,b,None
406,b,None
406,b,None
406,b,None
407,a,None
407,b,None
407,b,None
407,b,None
407,f,None
408,b,None
408,b,None
408,b,None
409,b,None
409,b,None
409,a,None
409,b,None
409,b,None
409,f,None
410,c,B_BED30
410,h,ER_PRACTITIONER5
410,e,None
410,g,None
411,b,None
411,b,None
411,b,None
411,f,None
411,a,None
411,b,None
412,b,None
412,a,None
412,b,None
412,b,None
412,f,None
412,b,None
412,b,None
412,b,None
413,b,None
413,b,None
413,b,None
413,b,None
413,b,None
414,h,ER_PRACTITIONER6
414,e,None
414,g,None
415,b,None
415,b,None
415,b,None
415,f,None
415,a,None
415,b,None
415,b,None
416,b,None
416,f,None
417,c,B_BED10
417,h,ER_PRACTITIONER7
417,g,None
417,d,OR3
418,b,None
418,b,None
418,f,None
418,b,None
418,b,None
418,b,None
419,a,None
419,b,None
419,b,None
419,f,None
419,b,None
420,f,None
420,b,None
420,b,None
420,b,None
420,b,None
420,a,None
421,b,None
421,b,None
421,b,None
421,b,None
421,f,None
421,b,None
421,b,None
421,a,None
422,b,None
422,b,None
422,a,None
422,b,None
422,b,None
423,a,None
423,b,None
423,b,None
423,f,None
423,b,None
424,e,None
425,g,None
425,e,None
426,c,B_BED9
426,h,ER_PRACTITIONER5
426,e,None
426,g,None
427,e,None
428,c,B_BED32
428,e,None
429,c,B_BED11
429,h,ER_PRACTITIONER3
429,g,None
430,h,ER_PRACTITIONER4
430,e,None
430,g,None
431,h,ER_PRACTITIONER5
431,e,None
431,g,None
433,c,B_BED33
433,h,ER_PRACTITIONER4
433,g,None
433,e,None
434,c,B_BED12
434,h,ER_PRACTITIONER3
434,e,None
435,h,ER_PRACTITIONER3
435,e,None
436,g,None
436,e,None
437,c,B_BED8
437,a,None
437,b,None
437,g,None
438,c,A_BED17
438,i,INTAKE2
438,g,None
438,b,None
439,c,B_BED29
439,i,INTAKE1
439,b,None
439,a,None
440,c,A_BED15
440,g,None
440,b,None
440,a,None
441,i,INTAKE2
441,g,None
441,b,None
441,b,None
441,a,None
441,b,None
441,b,None
442,c,B_BED2
442,i,INTAKE1
442,b,None
443,c,A_BED21
443,i,INTAKE4
443,a,None
443,g,None
444,c,B_BED15
444,i,INTAKE1
444,a,None
444,b,None
444,g,None
444,b,None
444,b,None
445,c,A_BED18
445,i,INTAKE4
445,b,None
445,a,None
445,b,None
445,b,None
445,b,None
445,g,None
445,b,None
445,b,None
446,c,B_BED20
446,h,ER_PRACTITIONER3
446,g,None
446,e,None
447,f,None
447,b,None
447,b,None
447,b,None
447,a,None
447,b,None
447,b,None
448,a,None
448,f,None
448,b,None
448,b,None
449,c,B_BED4
449,h,ER_PRACTITIONER4
449,g,None
449,e,None
450,h,ER_PRACTITIONER5
450,g,None
451,c,B_BED30
451,b,None
451,b,None
451,g,None
451,b,None
451,a,None
451,b,None
452,c,A_BED20
452,g,None
452,b,None
452,b,None
452,b,None
452,b,None
453,b,None
453,a,None
453,b,None
454,h,ER_PRACTITIONER6
454,e,None
454,g,None
455,c,B_BED37
455,h,ER_PRACTITIONER7
455,g,None
456,i,INTAKE3
456,b,None
456,b,None
456,b,None
456,b,None
456,b,None
457,c,B_BED12
457,g,None
457,b,None
457,b,None
457,a,None
457,b,None
458,c,B_BED24
458,h,ER_PRACTITIONER3
458,g,None
458,d,OR1
459,i,INTAKE2
459,b,None
459,b,None
459,b,None
459,g,None
459,b,None
459,b,None
459,b,None
459,d,OR2
460,b,None
460,f,None
460,b,None
460,b,None
460,b,None
460,b,None
461,b,None
461,b,None
461,f,None
461,b,None
461,b,None
461,b,None
462,b,None
462,b,None
462,a,None
462,b,None
462,f,None
462,b,None
463,b,None
463,f,None
463,b,None
463,a,None
463,b,None
463,b,None
463,b,None
464,b,None
464,b,None
464,b,None
464,a,None
464,b,None
464,b,None
465,b,None
465,a,None
465,b,None
465,f,None
466,h,ER_PRACTITIONER3
467,b,None
467,a,None
467,f,None
467,b,None
467,b,None
468,b,None
468,b,None
468,b,None
468,a,None
469,a,None
469,f,None
469,b,None
469,b,None
469,b,None
469,b,None
